epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,80.9563,1.18129,0.8125,0.99792,0.52258,0.000332338,0.000332338,0.000332338
2,167.844,0.61425,0.83125,0.99375,0.49009,0.000632721,0.000632721,0.000632721
3,250.021,0.47114,0.85833,1,0.40942,0.000900103,0.000900103,0.000900103
4,335.919,0.39871,0.86458,0.99792,0.39632,0.0008515,0.0008515,0.0008515
5,421.024,0.32028,0.9125,0.99792,0.2983,0.000802,0.000802,0.000802
6,505.414,0.26015,0.89375,0.99583,0.32504,0.0007525,0.0007525,0.0007525
7,581.974,0.20718,0.93333,1,0.2527,0.000703,0.000703,0.000703
8,660.565,0.17689,0.90833,0.99792,0.31199,0.0006535,0.0006535,0.0006535
9,737.897,0.16317,0.93125,0.99792,0.25053,0.000604,0.000604,0.000604
10,821.821,0.13975,0.91042,0.99792,0.33067,0.0005545,0.0005545,0.0005545
11,902.084,0.12103,0.92292,0.99792,0.29038,0.000505,0.000505,0.000505
12,981.951,0.09984,0.93125,0.99792,0.27391,0.0004555,0.0004555,0.0004555
13,1063.78,0.10892,0.90625,0.99792,0.33569,0.000406,0.000406,0.000406
14,1142.8,0.10384,0.92292,0.99792,0.28151,0.0003565,0.0003565,0.0003565
15,1219.8,0.08359,0.92917,0.99792,0.25325,0.000307,0.000307,0.000307
16,1296.31,0.07907,0.92083,0.99792,0.24227,0.0002575,0.0002575,0.0002575
17,1372.97,0.07667,0.91875,0.99792,0.2599,0.000208,0.000208,0.000208
18,1450.11,0.07071,0.92708,0.99792,0.25099,0.0001585,0.0001585,0.0001585
19,1527.05,0.06288,0.93958,0.99792,0.23209,0.000109,0.000109,0.000109
20,1605.32,0.06267,0.93542,0.99792,0.23973,5.95e-05,5.95e-05,5.95e-05
